internal_company_name,industry,deal_source,employees,linkedin_employee_range,reviews,rating,locations,revenue,ebitda,fte,management_depth,has_exec_summary,has_recurring_kw,has_3plus_services,address_city,address_state,has_website,is_enriched,captarget_interest_type,old_score,quality_calculation_version,new_size,new_quality,new_market
GC Northwest LLC,Restoration Services,gp_partners,351,201-500 employees,1,5.0,1,0,5000000,0,"The owner's name is David Millar. The notes do not provide details about the management team beyond the owner. The presence of a strong #2, succession planning, or the owner's day-to-day involvement in operations are unknown and require further investigation.",true,true,false,Vancouver,WA,true,true,,94,v5,45,18,8
Peters Body & Fender,Auto Body Repair,gp_partners,121,51-200 employees,90,4.7,1,0,0,0,"Dave Laganella, an experienced mechanic, manages the shop. The notes do not mention any other key personnel or a strong #2 in place, so there is a potential owner dependency risk.",true,true,true,Oakland,NJ,true,true,,58,v5,40,21,8
Ray's Auto Body Crafters,Auto Body Repair,gp_partners,251,11-50 employees,63,4.7,1,0,0,0,"Management depth is not explicitly detailed in the notes. The notes mention I-CAR Pro Level-2 rated estimators, suggesting a focus on professional certifications and expertise. Further investigation is needed to understand the roles and responsibilities of key personnel and the company's succession planning.",true,false,true,Rapid City,SD,true,true,,64,v5,45,15,8
Onspring,Unspecified,gp_partners,112,51-200 employees,2,4.0,0,30000000,6000000,50,"Management depth details are not explicitly mentioned. Chad Kreimendahl is identified as the Founder and CEO, but information on the broader management team and succession planning is not available. It is important to assess the strength of the management team and the potential impact of owner departure.",true,false,true,Overland Park,KS,true,true,,94,v5,40,13,8
Bug Busters Pest Control Services,Pest Control,gp_partners,25,11-50 employees,622,4.8,0,0,0,0,"The notes do not provide details on management depth. It's unclear who runs the day-to-day operations besides the owner, and if there's a strong #2 or a team in place to support the business. Understanding the management structure is crucial for assessing the business's scalability and transition readiness.",true,true,true,Farmville,VA,true,true,,46,v5,27,25,8
Randy Hall,Vacation Rentals,gp_partners,60,51-200 employees,5,3.4,1,0,0,0,Randy Hall is the CEO. Ellie Geoffrey is the broker. No other management details provided.,true,true,true,Orange Beach,AL,true,true,,52,v5,34,17,8
JC Beal Construction,Construction,gp_partners,46,11-50 employees,18,4.8,0,0,0,0,"Management depth is not detailed in the notes. Further information is needed to understand the key personnel, their roles, and the succession plan in place.",true,true,true,Detroit,MI,true,true,,49,v5,27,21,11
Jerry's Auto Build,Collision and Autobody Repair,gp_partners,62,11-50 employees,31,4.6,1,1000000,100000,5,"The notes mention Jerry's Autorebuild, suggesting Jerry is a key figure in the company's management. The depth of the management team and whether there is a strong #2 or succession plan is not detailed.",true,false,true,Bainbridge Island,WA,true,true,,24,v5,34,15,8
Road Art Paint & Collision,Auto Body Repair,gp_partners,73,"501-1,000 employees",25,5.0,1,0,0,0,"Details regarding the management team and their roles within the company are not included. It's unclear who the key personnel are, their tenure, and whether there is a strong #2 in place to ensure continuity.",true,false,true,Mt Gilead,NC,true,true,,52,v5,34,15,8
"Davis Roofing, Inc.",Roofing,gp_partners,13,11-50 employees,61,4.8,811,0,0,0,"The notes mention Jon Walsh, presumably the owner, but do not provide information on the management team's depth, succession readiness, or key personnel beyond Mr. Walsh.",true,true,false,Lombard,IL,true,true,,64,v5,15,28,12
Civalgo,Unclear from notes,gp_partners,26,11-50 employees,8,4.5,0,0,0,0,Management depth is not mentioned in the provided notes.,true,true,false,Montreal,QC,true,true,,46,v5,27,18,8
Clinical Research Associates,Clinical Research,gp_partners,17,11-50 employees,38,4.7,0,0,0,,The notes do not provide information on the management depth.,true,true,false,Nashville,TN,true,true,,41,v5,21,18,11
Clinical Outcome Solutions,Healthcare,gp_partners,74,51-200 employees,1,3.0,0,0,0,,Unknown,true,false,false,Tucson,AZ,true,true,,53,v5,34,8,8
Green Shield Pest Control,Pest Control,gp_partners,,,204,5.0,0,0,0,0,"No information is provided about the management team or key personnel. Details regarding key personnel, their roles, and succession planning are needed for a comprehensive analysis.",true,true,true,Columbus,OH,true,true,,22,v5,14,25,11
The Pest Rangers Hazleton: Termite and Pest Control,Pest Control,gp_partners,12,1-10 employees,456,5.0,1,0,0,0,"The management depth is not explicitly mentioned in the provided text. Further information is needed to determine the key personnel, their roles, and the succession readiness of the company.",true,true,true,Hazleton,PA,true,true,,34,v5,15,25,8
Build Right Roofing & Construction,Roofing & Construction,gp_partners,10,11-50 employees,461,5.0,0,0,0,0,Unknown,true,true,true,Rapid City,SD,true,true,,34,v5,15,25,8
The Heart Institute of East Texas,Healthcare,gp_partners,39,51-200 employees,89,4.2,1,0,0,0,"The provided notes contain no information about the management team, key personnel, or the organizational structure of the Heart Institute.",true,false,true,Lufkin,TX,true,true,,44,v5,27,13,8
Gold Coast Auto Body,Collision Repair / Auto Body,gp_partners,21,11-50 employees,777,4.8,1,1,1,1,"Management depth is not explicitly detailed, but Dominic Martino appears to be a key figure, possibly the owner or a senior manager. The presence of a representative suggests they may have external advisors assisting with strategic decisions.",true,false,false,Chicago,IL,true,true,,29,v5,21,16,11
LiveField,Construction Software,gp_partners,,,15109,4.4,0,0,0,0,No information provided about the management depth.,true,true,true,Dallas,TX,true,true,,27,v5,14,23,11
Prolato Clinical Research Center,Clinical Research,gp_partners,20,11-50 employees,44,4.7,1,0,0,0,"The notes mention Sreedhar Mandayam, MD, MPH, MBA, but do not provide details about management depth or succession readiness.",true,false,true,Houston,TX,true,true,,43,v5,21,15,11
Pipe Masters,Home Services,gp_partners,,,280,4.9,0,0,0,0,"Jason Koran is mentioned as the Manager. The notes do not provide information about other key personnel, succession readiness, or the management structure beyond Jason Koran.",true,true,true,Honolulu,HI,true,true,,19,v5,14,25,8
Zepth,Construction AI Platform,gp_partners,19,11-50 employees,3,4.3,0,0,0,0,No information on management depth is available in the provided notes.,true,true,true,Anywhere,,true,true,,40,v5,21,19,5
GoodMonsters Pest Control,Pest Control,gp_partners,,,499,4.9,0,0,0,0,No information provided about the management depth.,true,true,false,Mount Vernon,WA,true,true,,19,v5,14,22,8
Cape Auto Body Collision Center,Auto Body Collision Repair,gp_partners,,,229,4.7,1,0,0,0,"The business is owned and operated by Dave Gallerani. The notes do not provide details on the management team, the presence of a strong #2, or succession planning.",true,true,false,Plymouth,MA,true,true,,19,v5,14,22,8
Boyes Electric,EV Charging / Electrical,gp_partners,,,206,4.9,0,0,0,0,Management depth information is not mentioned in the provided notes.,true,true,false,Oakland,CA,true,true,,19,v5,14,22,8
BugBros Pest Control,Pest Control,gp_partners,,,2080,5.0,1,10000000,0,0,Management depth is not explicitly stated in the provided notes.,true,true,false,Tulsa,OK,true,true,,83,v5,14,22,8
Victory Financial,Wealth Management,gp_partners,37,11-50 employees,0,,1,0,0,0,Management depth is not mentioned in the notes.,true,false,false,Southlake,TX,true,true,,46,v5,27,8,8
West Wind Reinforcing,Concrete Reinforcing,gp_partners,34,201-500 employees,8,3.0,1,60000000,60000000,0,"Louie Leon is the Vice President-Member. The text suggests a concern for the well-being of the 'employee team', inferring their importance to the company's operations.",true,false,false,Hubbard,OR,true,true,,94,v5,27,8,8
425 Motorsports,Automotive,gp_partners,10,1-10 employees,171,4.9,1,25000000,4000000,2,Dan Reiss is the Chief Executive Officer and appears to be the key leader. The notes don't provide detail on other management personnel or succession planning.,true,false,true,Kirkland,WA,true,true,,87,v5,15,19,8
631 Tire & Wheel,Tires & Automotive,gp_partners,,,313,4.4,1,0,0,0,"Management depth is not detailed in the notes, and it is unclear who besides the owner is involved in managing the business.",true,true,false,Lindenhurst,NY,true,true,,19,v5,14,20,8
Ipest,Pest Control,gp_partners,,,158,4.9,1,0,0,0,No information provided regarding management depth.,true,true,false,San Antonio,TX,true,true,,14,v5,9,22,11
Frontline Adjusters,Restoration Services,gp_partners,12,11-50 employees,60,4.8,0,5000000,1000000,25,Not mentioned in the notes.,true,true,false,Glen Ellyn,IL,true,true,,74,v5,15,18,8
"A1 Garage Repair, LLC.",Garage Door Services,gp_partners,,,957,5.0,,,,,,true,true,true,Plain City,OH,true,true,,7,v5,14,19,8
Jim's Body Shop & Services Center,Collision Repair / Auto Body,gp_partners,16,1-10 employees,42,4.6,0,0,0,,Not mentioned in the notes.,true,false,false,Seymour,IN,true,true,,38,v5,21,12,8
Skyview Investment Advisors,RIA / Wealth Management,gp_partners,22,11-50 employees,0,,1,0,0,0,"The notes do not provide any information about the management depth of Skyview Investment Advisors. It is unknown who the key personnel are, their roles, and whether there is a strong #2 in place. Further information is needed to assess the company's management structure and succession planning.",true,false,true,Shrewsbury,NJ,true,true,,40,v5,21,11,8
Blue Peaks Roofing,Home Services,gp_partners,6,1-10 employees,153,4.9,1,0,0,0,"Management depth is not mentioned in the notes, but direct communication with Andrew Ubben suggests he may be a key figure in the company's operations.",true,true,false,Littleton,CO,true,true,interest,23,v5,9,22,8
Compton Doors,Garage Doors,gp_partners,,,116,4.9,1,0,0,0,Bob Dean is in operations.,true,true,false,Attleboro,MA,true,true,,14,v5,9,22,8
Utah Flood Guys,Flood Mitigation & Restoration,gp_partners,,,197,5.0,1,1000000,100000,5,Management depth details are not included in the notes.,true,true,false,Sandy,UT,true,true,,24,v5,9,22,8
ChefaloCC,Restoration Services,gp_partners,,,134,4.9,0,0,0,0,No information about the company's management depth is provided in the notes.,true,true,false,Poughkeepsie,NY,true,true,,14,v5,9,22,8
Brookstone Restoration,Restoration Services,gp_partners,,,294,4.7,1,0,0,0,"Mike Whitcomb's sons are now running the business, indicating a transition of leadership to the next generation. Further details about their roles and responsibilities were not provided.",true,false,false,Bessemer,AL,true,true,,17,v5,14,16,8
Private Label Partners,OTC Manufacturing,gp_partners,,,58,4.9,0,0,0,0,Management depth is currently unknown.,true,true,true,Alpharetta,GA,true,true,,11,v5,9,21,8
Lakonia Imports,Imports,gp_partners,7,1-10 employees,13,4.7,0,0,0,0,Management depth is not specified in the notes.,true,true,true,Humble,TX,true,true,,25,v5,9,21,8
A Perfect Plumber,Home Services,gp_partners,3,1-10 employees,527,5.0,1,0,0,0,"The owner and contact person is Chris Coleman. The notes do not offer insights into the management depth of A Perfect Plumber, LLC, including the presence of a strong #2 or details on day-to-day operations management.",true,true,true,Englewood,CO,true,true,,19,v5,5,25,8
Motor City Plumbing and Drain,Home Services,gp_partners,,,2579,4.9,1,0,0,0,Management depth details are not included in the notes. It's unknown if there is a #2 or who manages the day-to-day operations.,true,false,false,Roseville,MI,true,true,,27,v5,14,16,8
"4-T Door Systems, Inc",Garage Door Services,gp_partners,3,11-50 employees,173,4.8,1,0,0,0,"Jason Dean is the President of 4-T Door Systems, Inc. No other management details are provided.",true,true,true,Elkhart,IN,true,true,,16,v5,5,25,8
EPIC Restoration,Restoration Services,gp_partners,,,334,4.8,0,1500000,1500000,0,Management depth is not mentioned in the provided notes.,true,false,false,Sacramento,CA,true,true,,27,v5,14,16,8
CGX Overhead Door,Life Sciences,gp_partners,,,906,5.0,1,3000000,3000000,4,Management depth details are not provided in the notes beyond the mention of it being a family-owned business. The role of family members and the existence of a strong #2 are unknown.,true,false,false,St. Louis,MO,true,true,,89,v5,14,16,8
Emergency Glass Repair,Glass Repair,gp_partners,,,496,4.8,1,0,0,0,Not mentioned in the provided notes.,true,false,false,Tucson,AZ,true,true,,20,v5,14,16,8
Saas Capital,Financial Services,gp_partners,12,1-10 employees,0,,0,0,0,0,Information regarding the management depth of SaaS Capital is not available in the notes. The notes do not mention key personnel or succession planning.,true,true,false,Cincinnati,OH,true,true,,35,v5,15,14,8
Phoenix Collision Center,Collision Repair / Auto Body,gp_partners,,,139,4.9,1,0,0,0,No management depth mentioned in the provided notes.,true,false,false,Phoenix,AZ,true,true,,15,v5,9,16,11
Loisa,Food & Seasoning,gp_partners,8,1-10 employees,461,4.5,0,0,0,0,The notes do not contain any information regarding management depth.,true,false,true,Rochester,NY,true,true,,23,v5,9,19,8
Uni-Tech Paint & Body Shop,Collision Repair / Auto Body,gp_partners,,,197,4.7,1,0,0,0,Management depth is not mentioned in the notes.,true,false,false,Atlanta,GA,true,true,,15,v5,9,16,11
Just-In Glass,Glass Services,gp_partners,,,118,4.8,0,0,0,0,Management depth is not mentioned in the provided text.,true,false,true,Dickinson,ND,true,true,,14,v5,9,19,8
Car Wash City,Car Wash,gp_partners,,,528,4.4,0,0,0,0,The notes do not contain any information about the management depth.,true,false,false,Springfield,IL,true,true,,22,v5,14,14,8
Icon Auto Glass,Auto Glass,gp_partners,,,460,4.4,0,0,0,0,The management depth is currently unknown. Further investigation is needed to assess the experience and capabilities of the management team and the presence of a strong second-in-command.,true,false,false,Salt Lake City,UT,true,true,,18,v5,14,14,8
Amarillo Steam Team,Restoration Services,gp_partners,1,11-50 employees,303,4.9,1,0,0,0,Management depth is not mentioned in the notes.,true,true,false,Amarillo,TX,true,true,,10,v5,5,22,8
Fairway Auto Care Center,Tires & Automotive,gp_partners,4,1-10 employees,120,4.7,1,0,0,0,The notes do not provide information on management depth.,true,true,false,Cedar Rapids,IA,true,true,,14,v5,5,22,8
Southwest Exterminators,Pest Control,gp_partners,2,11-50 employees,219,4.8,0,0,0,0,Management depth details were not mentioned in the notes.,true,true,false,St. George,UT,true,true,,8,v5,5,22,8
Premium Nut and Dried Fruit,Nut and Dried Fruit,gp_partners,,,114,3.9,0,0,0,0,No information provided about the management depth.,true,false,true,Dallas,TX,true,true,,15,v5,9,15,11
Tercero Inc,EV Charging / Electrical,gp_partners,8,1-10 employees,2,5.0,0,0,0,0,Unknown.,true,true,false,Hawthorne,CA,true,true,,23,v5,9,18,8
Lateral Technology,Technology,gp_partners,14,11-50 employees,17,4.9,0,0,0,0,No information about management depth was provided in the notes.,true,false,true,London,,true,true,,32,v5,15,15,5
Bay Area Bed Bug,Bed Bug Extermination,gp_partners,,,223,5.0,,,,,,true,false,true,San Ramon,CA,true,true,,19,v5,14,13,8
Aeret Restoration,Restoration,gp_partners,11,11-50 employees,69,4.9,0,0,0,0,No details regarding management depth were provided in the notes.,true,false,false,Bonita Springs,FL,true,true,,32,v5,15,12,8
Window Screen Pros,Garage Doors,gp_partners,,,66,4.9,0,0,0,0,"Management depth cannot be assessed based on the notes, though Devin Smith is the contact person.",true,true,false,Lincoln,NE,true,true,,11,v5,9,18,8
Family Pest Solutions,Pest Control,gp_partners,3,11-50 employees,517,4.9,1,0,0,0,No information provided about management depth.,true,true,false,Altamont,NY,true,true,,16,v5,5,22,8
"ARKANSAS MOLD and WATER, INC.",Restoration Services,gp_partners,,,88,4.6,1,0,0,0,"Information on management depth, key personnel, tenure, succession readiness, and day-to-day operations is not available in the provided notes.",true,true,false,North Little Rock,AR,true,true,,11,v5,9,18,8
"Betro and Company, P.C.",CPA/Accounting,gp_partners,12,1-10 employees,3,3.7,2,2000000,698000,15,Felix Betro is the President of the firm and appears to be a key figure. Gary Blumenthal is a partner and is involved in discussions. The depth of management beyond these two individuals and the existence of a clear succession plan are currently unknown.,true,false,true,Foxborough,MA,true,true,,37,v5,15,11,8
Tenjin Ai Capital Advisors,Wealth Management,gp_partners,6,1-10 employees,0,,1,46000000,0,0,No information provided about management depth.,true,true,false,New York,NY,true,true,,75,v5,9,14,11
restoration xpress,Restoration Services,gp_partners,,,115,4.9,0,,,,No information about management depth is available in the provided notes.,true,false,false,Davie,FL,true,true,,12,v5,9,16,8
Campus Salon,Collision Repair / Auto Body,gp_partners,6,1-10 employees,382,4.9,1,0,0,0,"No information about the management team, key personnel, or succession planning is available in the notes.",true,false,false,Tempe,AZ,true,true,,23,v5,9,16,8
Nu-Vu Auto Glass,Auto Glass,gp_partners,5,11-50 employees,258,4.9,0,0,0,0,Management depth information is not available in the provided notes.,true,false,false,Twin Falls,ID,true,true,,25,v5,9,16,8
Jerry's Auto Body,Auto Body Repair,gp_partners,,,192,4.8,0,0,0,0,Not specified in the provided text.,true,false,false,Stillwater,MN,true,true,,12,v5,9,16,8
Fargo Garage Floors & Doors,Garage Door Services,gp_partners,,,119,4.9,1,0,0,0,The management depth is not described in the provided text. It is unknown who runs the day-to-day operations or if there is a strong #2 in place. The text does not provide insights into succession readiness or potential impact of the owner's departure.,true,false,false,Fargo,ND,true,true,,14,v5,9,16,8
Colorado Car Works,Collision Repair / Auto Body,gp_partners,,,114,4.9,1,0,0,0,Management depth details are not available in the provided notes. It is unknown if there is a strong #2 or who runs the day-to-day operations. Understanding the management structure and succession readiness is crucial for assessing the stability and future leadership of the company. Further investigation is needed to gather these details.,true,false,false,Lakewood,CO,true,true,,14,v5,9,16,8
U.s.a. Financial & Tax Services,RIA / Wealth Management,gp_partners,5,1-10 employees,1,5.0,0,0,0,0,No information about management depth is available in the provided notes.,true,false,true,Wilton,CT,true,true,,23,v5,9,15,8
"Archer Tax Group, LLC",Tax & Accounting,gp_partners,1,1-10 employees,4,4.0,1,0,0,0,Andrew Kernosky is the founder and leader of Archer Tax Group. The notes do not mention any other key personnel or a strong #2 within the organization. The succession readiness appears to be dependent on Andrew.,true,true,true,Littleton,CO,true,true,,8,v5,5,19,8
Sansara 24/7 Restoration & Remodeling,Disaster Restoration & Remodeling,gp_partners,2,11-50 employees,138,4.9,1,5000000,0,0,"Dave Kosanke is the owner. The presence of craftsmen and designers suggests a team-based structure, but the depth of management is not detailed.",true,false,true,Wildwood,MO,true,true,,72,v5,5,19,8
Proper Auto Body Services,Collision Repair / Auto Body,gp_partners,,,70,4.8,0,0,0,,No information provided about management depth.,true,false,true,Hayward,CA,true,true,,9,v5,9,15,8
Complete Water Removal,Fire & Water Restoration,gp_partners,4,1-10 employees,117,4.8,1,0,0,,"The email is signed by John W Henderson Sr., National Catastrophe Response Coordinator, implying a senior leadership role. The depth of management and the presence of a strong #2 are not discernible from the text.",true,false,true,Gainesville,GA,true,true,,14,v5,5,19,8
Structured Pest Control and Home Services,Pest Control & Home Services,gp_partners,,,51,5.0,,,,,,true,true,true,Dixon,CA,true,true,,5,v5,9,15,8
Pro Care Horticultural Services,Horticultural Services,gp_partners,9,51-200 employees,27,4.9,0,0,0,0,,true,true,true,Carmel,IN,true,true,keep_in_mind,25,v5,9,15,8
Red Coat Pest Solutions,Pest Control,gp_partners,5,1-10 employees,62,4.7,1,0,0,0,"The notes do not provide details on the company's management depth. Information on key personnel, their roles and tenure, and the presence of a strong second-in-command is needed to evaluate the company's leadership structure.",true,false,false,Atlanta,GA,true,true,,26,v5,9,12,11
Bentley Adjusters,Public Adjusting,gp_partners,1,,32,4.9,1,4000000,600000,10,"The notes mention that ""Rickey"" is running the business, but there are no details about other key personnel or the depth of the management team. Further information is needed to assess the management structure and succession readiness.",true,false,true,Austin,TX,true,true,,49,v5,5,15,11
McDaniel Engineering & Maintenance,Electrical Services,gp_partners,2,11-50 employees,17,4.8,0,25000000,0,0,Information not provided in notes.,true,true,false,Lenoir,NC,true,true,,69,v5,5,18,8
EV Plugz,EV Charging / Electrical,gp_partners,3,1-10 employees,82,5.0,0,0,0,0,No information about the management depth was mentioned in the provided notes.,true,true,false,Melbourne,FL,true,true,,14,v5,5,18,8
ATC Auto Body Paint Inc,Auto Body Repair,gp_partners,,,60,4.3,1,0,0,,"The business appears to be heavily reliant on the owner, Dien Chang, as it's described as 'owner-operated.' The notes do not mention other key personnel or a strong #2 in place. Further information is needed to assess the management depth and succession planning.",true,false,false,Portland,OR,true,true,,12,v5,9,10,11
Crew Console,No industry information provided.,gp_partners,,,26,5.0,0,0,0,0,No information provided regarding management depth.,true,true,true,Archdale,NC,true,true,,8,v5,0,21,8
"Citywide Restoration, LLC",Restoration Services,gp_partners,,,58,4.8,1,1000000,0,0,"Lori Mitchell is identified as the Green COO, indicating a defined management structure. However, the depth of the management team beyond this role is unclear. Further investigation is needed to determine the presence of a strong number two, key personnel responsibilities, and overall organizational capabilities.",true,false,false,Cypress,TX,true,true,,24,v5,9,12,8
Emergency Restoration,Home Services,gp_partners,,,51,4.6,0,0,0,0,No information about the management depth is available in the provided notes.,true,false,false,Troy,MI,true,true,,10,v5,9,12,8
Montana Medical Research,Medical Research,gp_partners,7,1-10 employees,9,4.6,1,0,0,0,Marria Hegel is the Clinical Research Director. The notes do not provide information on other key personnel or succession readiness.,true,false,false,Missoula,MT,true,true,,25,v5,9,12,8
